,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
21348,1905,2,0,2003.0,3308.0,2,1275000.0,1.0,2.0,3,20
21360,1915,1,0,3200.0,1980.0,1,1275000.0,1.0,2.5,12,27
21480,1920,2,0,1650.0,2256.0,2,1270000.0,1.0,2.0,3,16
21576,1910,2,0,1700.0,2040.0,2,1263000.0,1.0,2.0,3,7
21660,1970,3,0,2625.0,3661.0,3,1260000.0,1.0,3.0,3,31
22200,1901,2,0,1910.0,2240.0,2,1250000.0,1.0,2.0,12,7
22224,1925,2,0,2500.0,2400.0,2,1250000.0,1.0,2.0,12,27
22260,1910,3,0,2000.0,2400.0,3,1250000.0,1.0,2.0,9,12
22272,1925,2,0,2450.0,2816.0,2,1250000.0,1.0,2.0,12,20
22284,1930,2,0,2500.0,2248.0,2,1250000.0,1.0,2.0,5,15
22680,1930,2,0,2040.0,2160.0,2,1230000.0,1.0,2.0,6,22
22692,1925,2,0,2003.0,2320.0,2,1230000.0,1.0,2.0,2,2
22872,1920,1,0,3000.0,1480.0,1,1225000.0,1.0,2.5,3,1
23028,1899,1,0,2350.0,1847.0,1,1220000.0,1.0,1.5,9,27
23208,1920,1,0,1000.0,960.0,1,1210000.0,1.0,2.0,9,29
23952,1940,3,0,2336.0,2160.0,3,1200000.0,1.0,2.0,7,11
23964,1899,2,0,1500.0,1800.0,2,1200000.0,1.0,2.0,2,6
23976,1925,2,0,2003.0,2200.0,2,1200000.0,1.0,2.0,9,19
23988,1910,2,0,1950.0,2925.0,2,1200000.0,1.0,2.0,10,2
24060,1989,0,1,1888.0,1865.0,1,1200000.0,1.0,1.0,1,12
24420,1920,2,0,2003.0,2992.0,2,1190000.0,1.0,2.0,12,26
24648,1910,1,0,2600.0,1969.0,1,1180000.0,1.0,2.5,6,30
24864,1960,2,0,2835.0,3176.0,2,1175000.0,1.0,2.0,3,1
25644,1925,2,0,2350.0,2052.0,2,1150000.0,2.0,2.0,10,3
25668,1925,2,0,3194.0,2528.0,2,1150000.0,2.0,2.0,1,30
25692,1899,3,0,1950.0,3219.0,3,1150000.0,1.0,3.0,9,6
25704,1910,3,0,2500.0,2560.0,3,1150000.0,1.0,2.0,1,25
25872,1920,2,0,2000.0,3000.0,2,1145000.0,1.0,2.0,10,26
26148,1899,2,0,1900.0,1900.0,2,1130000.0,1.0,2.0,10,31
26316,1925,2,0,2500.0,1707.0,2,1125000.0,2.0,2.0,5,8
27276,1950,2,0,1900.0,1724.0,2,1100000.0,1.0,2.0,4,28
27312,1930,2,0,2500.0,1100.0,2,1100000.0,2.0,2.0,9,14
27720,1915,2,0,2300.0,1580.0,2,1088000.0,1.0,2.0,6,6
27780,1920,2,0,4000.0,2144.0,2,1085000.0,1.0,2.0,5,26
28056,1920,2,0,2417.0,1872.0,2,1075000.0,2.0,2.0,5,5
28176,1899,3,0,1500.0,3000.0,3,1070000.0,1.0,2.0,5,8
28284,1910,3,0,3194.0,2300.0,3,1065000.0,1.0,3.0,6,7
28392,1899,2,0,2000.0,720.0,2,1060000.0,1.0,2.0,8,15
28500,1899,2,0,2000.0,3600.0,2,1052046.0,1.0,3.0,8,17
28812,1920,2,0,1320.0,2160.0,2,1050000.0,1.0,2.0,6,21
28824,1920,1,0,1603.0,1024.0,1,1050000.0,1.0,2.0,7,7
28836,1899,3,0,1958.0,2400.0,3,1050000.0,1.0,2.0,12,4
29148,1915,1,0,1603.0,1406.0,1,1035000.0,1.0,2.0,6,30
29256,1905,1,0,2000.0,1720.0,1,1030000.0,1.0,2.0,4,27
29268,1930,3,0,2667.0,2596.0,3,1030000.0,2.0,2.0,3,27
29472,1920,2,0,2450.0,2424.0,2,1020000.0,2.0,2.0,6,27
29868,1950,0,1,2500.0,2500.0,1,1000000.0,1.0,1.0,5,8
30048,1910,2,0,2200.0,2341.0,2,999999.0,1.0,2.0,8,3
30060,1901,2,0,2400.0,2072.0,2,999999.0,1.0,2.0,3,27
30264,1910,3,0,4007.0,3150.0,3,999500.0,2.0,3.0,10,26
30648,1905,2,0,2003.0,3336.0,2,999000.0,1.0,2.0,5,26
30672,1930,1,0,2158.0,1854.0,1,999000.0,1.0,2.0,9,18
30684,1925,2,0,2000.0,1216.0,2,999000.0,2.0,2.0,11,30
